Carne,Nota
201700816,95
202010511,90
202200181,100
202100167,95
202200231,89
202004071,85
202200033,100
202110531,72
202200007,95
202200002,90
202200061,90
202210009,100
202104727,87
202113318,85
202200119,50
202200141,95
202204496,70
202101616,65
202200235,85
202203361,95
202201131,87
202201724,100
201709173,0
202201444,100
202200131,93
202201989,100
202200174,35
202111456,100
202001361,72
201901509,85
202201128,82
202200075,100
202200135,95
202200314,90
202000805,70
202201211,100
202202182,100
202202882,79
201314405,90
202200252,87
202206560,90
202108307,95
202100171,100
202200081,100
202200110,90
202202072,95
202100204,75
202207551,82
202101146,73
202201130,100
202100507,68
202200057,80
202200089,95
202100509,92
202200392,78
202100081,97
202202906,100
202207595,92
202201336,98
201904051,90
202203009,80
202200003,75
202200151,77
202106651,100
202004730,78
202200100,100
202100113,90
202201213,87
202200035,71
202201405,86
202201461,85
202202233,92
202106364,73
202100312,0
202200309,100
202111460,85
202201457,100
201800967,92
202201318,90
202200331,87
202006658,0
201610975,75
202003536,30
202003654,87
202200031,80
202106435,59
202202696,10
202103763,90
202200048,87
201907177,5
202001816,85
