Carne,Nota
201800967,75
202200048,90
202202696,95
202201131,90
202200061,100
202210009,75
202103763,77
202207551,100
201709173,100
202101616,77
201610975,100
202202182,50
201212764,85
202201213,95
202201724,67
202200151,87
202004071,87
202200135,100
202200100,85
202110531,100
202111460,87
201700816,90
202103035,70
202201211,85
202201128,97
202001816,81
202201444,84
202200007,100
202100167,65
202207595,83
201906792,90
202200309,80
202200119,55
202106435,100
202106364,87
201901509,47
202201130,100
202200033,87
202100113,100
202200131,88
202202906,100
202102651,87
202200141,74
202201318,100
202100509,87
202200002,100
202200235,90
202001361,87
202200075,82
202104727,100
202200231,80
202201336,75
202200314,82
201907177,95
202200392,97
202201989,87
202200003,100
202202072,87
202003654,80
201314405,80
202000805,90
202100081,73
201904051,80
202200181,88
202106651,85
202206560,90
202100507,90
202111456,100
202200331,90
202200031,80
202203009,95
202200081,90
202108307,80
202200057,100
202200110,80
202201461,85
202203361,100
202200252,88
202201457,88
202100171,100
202010511,83
202100312,60
202004730,88
202100204,85
202200089,80
202100044,85
202101146,100
202113318,90
202202882,97
202200174,50
202003536,45
202202233,70
202006658,89
202201405,65
202204496,52
