Carne,Nota
202200003,90
201700816,55
202202182,70
202200151,84
202010511,73
202200252,96
202200007,90
202200061,78
202200331,62
201709173,80
202200392,96
202201318,80
202000805,55
202004071,69
202200141,64
202001361,90
202100171,78
202200033,80
202110531,80
202200031,80
202111456,90
202100507,62
202201444,88
201907177,70
202100167,60
201903009,100
202201131,74
202200119,80
202201461,53
202101616,58
202202072,53
202102651,80
202201405,70
202206560,57
202201130,90
202200110,83
202200100,68
201901509,71
202201128,70
202101146,80
202201989,61
201904051,70
202202882,87
202200135,90
202210009,65
202200235,90
202106435,57
202100509,70
202207551,100
201314405,87
202200181,78
202203361,90
202202906,100
202200075,98
202201211,90
202100081,77
202201213,78
202200309,90
201800967,39
202201724,79
202113318,80
202204496,72
202004730,80
202200314,60
202100204,96
202200131,87
202200174,55
202100312,70
202003654,82
202201336,100
202103763,87
202207595,60
202200089,100
202200057,90
202202696,90
201610975,88
202106651,77
202003536,70
202108307,85
202100044,61
202100113,77
201906792,60
202200081,70
202006658,43
202111460,70
202001816,57
202200048,31
202201457,65
202202233,59
202203009,50
