Carne,Nota
202201444,100
202200110,84
202200007,100
202106651,84
202202182,95
202000805,60
202200235,90
202201211,90
202200181,96.67
201901509,65
202201130,76.67
202200061,100
202200033,80
202200075,60
201610975,55
202200002,65
202200135,85
202113318,100
202200100,95
202200048,80
202201336,71.67
202200131,91.67
202200174,87
201709173,80
202200392,80
202100204,90
202100081,65
202207551,98.33
202201131,80
202111456,88
202200141,96.67
202200309,97
202200119,95
202206560,95
202202906,98
202203009,89
202100507,30
202102651,70
202202696,90.67
202204496,75
202200314,70
202100509,88
201700816,79
202200231,70
202004071,68.33
202202233,76.67
202203361,94.67
202210009,90
202111460,88
202110531,60
202202882,90
202003536,100
202100171,97
202100167,70
202201724,89
202101146,85
201906792,46.67
202100312,62
202200081,95
202200151,90
202101616,60
201904051,85
202201128,82
202200057,90
202200089,68
202201318,90
202200035,70
202106364,45
202001361,75
202200331,90
202202072,90
201907177,86.67
202201405,50
202207595,61.67
202201989,100
202100113,93
202201457,90
202201213,80
202010511,98
201314405,70
201903009,87
202200252,95
202106435,96.33
202103763,86
201800967,70
202108307,45
202100044,36.67
202001816,70.17
202104727,67
202200031,76.67
202006658,65
202201461,54
202004730,98
202003654,51.67
202200003,28.33
